Frame,ID,Class,Center_X,Center_Y,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2
1,1,pedestrian,133,267,93,191,173,343
33,15,motorcycle,282,217,270,205,294,229
44,30,motorcycle,217,221,207,208,228,235
45,32,motorcycle,309,219,294,204,324,235
57,35,pedestrian,377,219,366,198,388,240
65,41,pedestrian,421,220,411,200,432,241
69,44,pedestrian,452,222,441,198,464,246
69,45,pedestrian,389,217,378,196,401,238
73,46,motorcycle,213,233,201,214,226,253
78,52,motorcycle,370,226,357,213,384,240
82,59,pedestrian,592,226,577,197,608,255
95,25,car,307,217,282,203,333,231
100,73,pedestrian,181,223,169,201,193,245
103,77,pedestrian,454,221,438,204,470,239
107,80,pedestrian,54,232,45,212,63,253
108,5,car,244,217,219,199,270,235
117,89,motorcycle,546,240,517,220,576,260
125,94,pedestrian,15,224,7,203,24,245
129,97,motorcycle,163,242,150,223,177,262
147,106,motorcycle,128,250,106,226,150,274
176,116,car,310,217,284,203,336,231
185,118,pedestrian,57,233,48,211,67,255
186,119,car,140,223,129,211,152,235
187,121,pedestrian,24,222,14,201,34,244
201,115,car,162,217,149,207,176,227
201,123,pedestrian,38,226,30,203,47,250
209,105,car,233,217,211,203,255,232
247,103,car,294,217,274,202,314,232
267,130,pedestrian,5,230,0,208,10,252
